COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Pinellas,trumpd,12/27/2021 20:35:30.279628,142207,68548,0,346300,102873,0
Polk,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Polk,blankenshipd,12/27/2021 20:35:30.279628,79,42,0,None,None,0
Polk,de_la_fuenter,12/27/2021 20:35:30.279628,95,67,0,None,None,0
Polk,hawkinsh,12/27/2021 20:35:30.279628,201,126,0,None,None,0
Polk,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Polk,la_rivag,12/27/2021 20:35:30.279628,104,61,0,None,None,0
Polk,other,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Polk,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Putnam,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Putnam,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Santa Rosa,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Santa Rosa,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Santa Rosa,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Santa Rosa,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Santa Rosa,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
